fractional.publish,fractional.site,fractional.obs_time,fractional.longitude,fractional.latitude,fractional.persist,fractional.crust,fractional.dist,fractional.rock,fractional.green,fractional.dead,fractional.litter,fractional.crypto,fractional.mid_g,fractional.mid_d,fractional.mid_b,fractional.crn,fractional.over_g,fractional.over_d,fractional.over_b,fractional.num_points,fractional.unoccluded,fractional.obs_key,fractional_chips.obs_key,fractional_chips.filename,fractional_chips.timelag,fractional_chips.b1_sf_mn,fractional_chips.b2_sf_mn,fractional_chips.b3_sf_mn,fractional_chips.b4_sf_mn,fractional_chips.b5_sf_mn,fractional_chips.b6_sf_mn,fractional_chips.b1_sf_sd,fractional_chips.b2_sf_sd,fractional_chips.b3_sf_sd,fractional_chips.b4_sf_sd,fractional_chips.b5_sf_sd,fractional_chips.b6_sf_sd,fractional_chips.b1_fc_mn,fractional_chips.b2_fc_mn,fractional_chips.b3_fc_mn,fractional_chips.b4_fc_mn,fractional_chips.b1_fc_sd,fractional_chips.b2_fc_sd,fractional_chips.b3_fc_sd,fractional_chips.b4_fc_sd,fractional_chips.count
y,tas006,7/12/2011,147.4487292,-42.17966521,0,13.67,0,1.67,44.33,29.33,11,0,0,0,0,0,0,0,0,300,300,14744873_04217967_20111207_000000,14744873_04217967_20111207_000000,l7tmre_p090r089_20111201_dbgm5.img,6,355.1111111,643,803.8888889,2801.555556,2552.888889,1459.333333,18.39954374,18.01234145,30.89927883,31.56337931,72.80482958,50.41163887,105,155.3333333,138.1111111,113.2222222,0.942809042,2.260776661,2.233305694,113.2222222,9
y,sa_e_saal_23,24/04/2012,139.975014,-31.389277,9.33,33.33,2.33,0.33,11.67,16.67,27.33,8.33,9.33,2,8.33,0,0,0,0,300,300,13997501_03138928_20120424_000000,13997501_03138928_20120424_000000,l7tmre_p097r082_20120425_dbgm4.img,1,518.4444444,834.7777778,1329.111111,1947,3060.333333,2508.888889,51.25776063,32.4509126,59.12217941,61.65315167,127.6853772,104.7011031,135.8888889,108.1111111,154.5555556,110.4444444,3.695175366,1.099943882,3.499559055,110.4444444,9
n,vic105,10/01/2013,143.9855651,-36.82863304,0,0,8.5,0,0,24.5,67,0,0,0,0,0,0,0,0,200,200,14398557_03682863_20130110_000000,14398557_03682863_20130110_000000,l7tmre_p093r086_20130110_dbgm5.img,0,853.4444444,1413.222222,2076.777778,2962.888889,3413.888889,2319.777778,25.02936547,37.08781704,44.95127678,45.84622714,68.65282133,52.76736739,121.1111111,106.1111111,171.4444444,107.2222222,1.968893905,0.737027731,2.629368792,107.2222222,9
y,sa_e_saal_1a,12/05/2011,138.238179,-30.861235,9.33,31,1.33,52.33,2,1.33,12,0,9.33,4,2.33,0,0,0,0,300,300,13823818_03086124_20110512_000000,13823818_03086124_20110512_000000,l7tmre_p098r081_20110516_dbgm4.img,4,579.6666667,979.3333333,1440.444444,2093.888889,2231.111111,2002,51.20763832,48.55237722,64.09214046,90.63043939,105.2620481,141.9538266,167.5555556,114.8888889,116,110.5555556,6.601533679,2.233305694,5.734883511,110.5555556,9
y,sa_w_saal_07,15/04/2011,134.688957,-27.913389,5.33,12,0,64.67,6.67,10.67,5,1,5.33,4.33,1.33,0,0,0,0,300,300,13468896_02791339_20110415_000000,13468896_02791339_20110415_000000,l5tmre_p101r079_20110411_dbgm3.img,4,605.5555556,1155.222222,1693.666667,2555.888889,3339,2592.888889,15.18120996,18.46785663,40.13588032,117.2219589,83.80930736,83.87085899,136.7777778,112.2222222,149.3333333,108,2.528845928,2.973130702,3.858612301,108,9
n,vic176,13/02/2014,141.9849,-35.2086,0,1,23,0,0,11,65,0,0,0,0,0,0,0,0,200,200,14198492_03520863_20140213_000000,14198492_03520863_20140213_000000,l7tmre_p095r084_20140212_dbgm4.img,1,984.6666667,1378.555556,1903.555556,2539,3782.555556,2879.111111,25.13519003,33.21683345,20.10036545,19.81021061,69.87466734,76.83957956,130.8888889,102.4444444,165.2222222,107,3.664982778,0.831479419,4.049081591,107,9
n,sa_samdb_06,30/03/2012,140.483522,-34.552194,0,41,0.5,0.5,3.5,0,54.5,0,0,0,0,0,0,0,0,200,200,14048352_03455219_20120330_000000,14048352_03455219_20120330_000000,l7tmre_p096r084_20120402_dbgm4.img,3,649.6666667,1008.777778,1481.111111,2215.444444,3397.333333,2676.222222,24.79247198,40.59495803,45.36627344,38.74162594,100.3349944,84.09224799,130.8888889,109.3333333,158.3333333,109,2.514157444,0.942809042,2.708012802,109,9
y,nsw035,19/06/2011,143.630919,-31.50399,0,22.33,0.33,0,3,38.33,36,0,0,0,0,0,0,0,0,300,300,14363092_03150399_20110619_000000,14363092_03150399_20110619_000000,l7tmre_p095r082_20110612_dbgm4.img,7,561.4444444,823.7777778,1144.666667,1937.444444,2407.666667,1615.444444,53.05366489,52.13823033,53.31249593,38.66985938,63.36139729,59.65104285,119.2222222,117.1111111,162.6666667,112,5.028314888,3.695175366,5.57773351,112,9
y,wa_pilb_028,25/08/2011,120.218683,-20.040966,0.33,33,0.67,0,28.67,28.67,9,0,0.33,0,0,0,0,0,0,300,300,12021868_02004097_20110825_000000,12021868_02004097_20110825_000000,l7tmre_p112r074_20110822_dbgm0.img,3,565.4444444,889.1111111,1364.333333,2604.444444,2843.222222,2144.777778,24.0790878,18.1012243,28.41361176,54.94261878,57.01808247,45.81794354,129.8888889,126.4444444,142.3333333,110,1.662958839,1.342560664,2.357022604,110,9
y,sa_aw_05,2/12/2012,130.8020831,-30.21618699,1.33,11,0,20.67,0,20.33,31.67,16.33,1.33,1.67,9,0,0,0,0,300,300,13080208_03021619_20121202_000000,13080208_03021619_20121202_000000,l7tmre_p103r081_20121129_dbgm2.img,3,598,997.2222222,1564.777778,2173.777778,3421.111111,2691.444444,14.93690433,23.882945,32.20689291,46.20432346,52.0223124,38.11418841,134.7777778,104.5555556,159.1111111,109,1.314684396,0.684934889,1.19670329,109,9
y,sa_w_saal_35a,4/12/2012,135.491013,-30.29011313,8,57.33,0,19.33,0.33,0.67,22.33,0,8,0.33,8.67,0,0,0,0,300,300,13549101_03029011_20121204_000000,13549101_03029011_20121204_000000,l7tmre_p100r081_20121210_dbgm3.img,6,714.6666667,1193.444444,2049.777778,2747.111111,3739.444444,3350.777778,19.04380914,51.01440126,65.97942066,79.43752884,76.56531142,77.97261311,163.1111111,107.2222222,128.3333333,107,2.233305694,0.916245695,2.108185107,107,9
n,vic163,23/01/2014,142.4806,-35.4627,0,36,0,0.5,0,8,55.5,0,0,0,0,0,0,0,0,200,200,14248057_03546271_20140123_000000,14248057_03546271_20140123_000000,l7tmre_p094r085_20140120_dbgm4.img,3,798.6666667,1309.444444,1953.222222,2668.444444,3927.444444,3197,38.69826295,54.57535282,68.09760606,76.48835948,72.22358973,66.43794097,145,104,149.2222222,107.1111111,2.708012802,0.816496581,2.657391276,107.1111111,9
y,nsw063,20/04/2012,142.031416,-29.300243,0,22.33,0.33,16,21.33,30,10,0,0,0,0,0,0,0,0,300,300,14203142_02930024_20120420_000000,14203142_02930024_20120420_000000,l7tmre_p096r080_20120418_dbgm4.img,2,737,1188.666667,1613.888889,2483.111111,2905.111111,2229.111111,23.18524435,28.94822965,72.78193372,85.22707505,105.5550877,82.57850735,138.3333333,114.7777778,145.5555556,108.7777778,2.160246899,1.98761598,2.629368792,108.7777778,9
y,kal_wa_049,30/05/2011,121.321408,-30.79041,12.65,46.99,0.38,0,1.5,1.5,37.59,12.03,3,3.33,5,17.67,9.67,3,5,300,266,12132141_03079041_20110530_000000,12132141_03079041_20110530_000000,l5tmre_p109r081_20110403_dbgm1.img,57,323.3333333,585,979.8888889,1714.111111,2489.333333,2051.777778,25.75525836,50.00444425,76.21817288,89.99190636,45.37742953,86.2345352,130.5555556,119.3333333,148.4444444,113.3333333,3.531166352,2.108185107,3.269764215,0.666666667,9
y,wa_murc_121,27/09/2012,118.2936673,-26.10652873,1.67,7,41,19.67,0.67,15,15.33,1.33,1.67,0,1,0,0,0,0,300,300,11829367_02610653_20120927_000000,11829367_02610653_20120927_000000,l7tmre_p112r078_20121011_dbgm0.img,14,532.4444444,953.2222222,1896.777778,2556.666667,4133.333333,3227,19.16658615,31.43168174,79.37502795,85.94959763,166.2334369,154.1745043,144.2222222,105.3333333,148.7777778,107.7777778,2.346523565,0.816496581,1.812167381,107.7777778,9
y,vic003,29/03/2011,144.065885,-36.826948,32.99,7.33,0.33,0,5.67,1.67,80.67,4.33,0.33,0,0,52,27.33,0,16.67,300,300,14406589_03682695_20110329_000000,14406589_03682695_20110329_000000,l7tmre_p093r086_20110326_dbgm5.img,3,358.5555556,497,661.6666667,2142.777778,1886,1244.222222,42.23771646,64.32728814,91.07506062,99.20100557,197.2133644,254.2019223,108.7777778,146.3333333,143.5555556,116.4444444,2.484519975,3.018461713,2.114033066,116.4444444,9
y,wa_gas_036,19/10/2011,114.3344,-25.7596,1.99,22,0.33,6,25.33,24.33,19,3,0.67,0,1,4,1.33,0,0,300,300,11433437_02575962_20111019_000000,11433437_02575962_20111019_000000,l5tmre_p114r078_20111015_dbgm0.img,4,525.7777778,870.2222222,1233.111111,2063.444444,3289.888889,2660,16.13676119,27.93555193,26.7434081,52.53593714,103.5325439,105.3238392,124.6666667,114.8888889,159,110,1.943650632,1.448711646,1.763834207,110,9
y,nt005,24/05/2011,130.7414005,-13.18525631,4.48,27.42,0,11.71,9.36,3.68,31.77,16.05,0,2,1,15.33,4.33,0.33,3.33,300,299,13074140_01318526_20110524_000000,13074140_01318526_20110524_000000,l7tmre_p106r069_20110508_dbgm2.img,16,503.2222222,701,898.6666667,1548.222222,2295.777778,1864.777778,28.59206486,23.02655472,46.53314231,82.15402577,109.8501786,81.95225951,127.3333333,115.1111111,155.7777778,113.5555556,3.62092683,1.662958839,2.779999112,113.5555556,9
y,vic034_3,16/02/2012,144.0049503,-36.75850314,0,0,0.33,0,0,75.33,23.67,0.67,0,0,0,0,0,0,0,300,300,14400495_03675850_20120216_000000,14400495_03675850_20120216_000000,l7tmre_p093r086_20120225_dbgm5.img,9,573.1111111,818.1111111,1140.111111,1795.666667,3180.333333,1967.666667,11.17978776,18.16250377,30.70448554,38.68964834,45.39946157,26.70830083,101,110.4444444,188.1111111,111.2222222,1.885618083,2.266230895,1.728483243,111.2222222,9
y,vic153,21/01/2014,142.943,-35.4865,0,0,15.5,0,0,31,53.5,0,0,0,0,0,0,0,0,200,200,14294295_03548648_20140121_000000,14294295_03548648_20140121_000000,l7tmre_p094r085_20140120_dbgm4.img,1,833.8888889,1257,1798.333333,2467.333333,3832.333333,2998.111111,12.21514947,17.30767331,32.96799795,54.85941629,61.70359255,73.71784714,134.3333333,103.3333333,160.8888889,107.8888889,2.40370085,1.247219129,2.601044425,107.8888889,9
y,wa_gas_030,18/10/2011,114.0429,-24.3555,0,67.67,32.33,0,0,0,0,0,0,0,0,0,0,0,0,300,300,11404294_02435553_20111018_000000,11404294_02435553_20111018_000000,l7tmre_p115r077_20111014_dbgm49.img,4,796.5555556,1480.777778,2585.222222,3414.777778,4220,3334.888889,45.65842045,78.7933694,101.7980329,135.2395223,131.7767472,143.4499095,154.1111111,106.6666667,137.6666667,105.8888889,4.581228473,1.414213562,5.57773351,0.314269681,9
y,agr_wa_044,17/05/2011,115.483382,-28.402147,0.33,0,19.33,13,0.33,5.33,46,16,0.33,0,0,0,0,0,0,300,300,11548338_02840215_20110517_000000,11548338_02840215_20110517_000000,l5tmre_p113r080_20110501_dbgm0.img,16,766.1111111,1494.444444,2370.555556,3326.222222,5179,3800.333333,46.53897875,77.08885366,96.85167481,124.6530989,140.7519489,97.71159376,141.4444444,104.7777778,152,105.6666667,3.531166352,0.628539361,3.527668415,105.6666667,9
